prompt,class
A porcupine.,porcupine
A woman.,woman
A raccoon.,raccoon
A dinosaur.,dinosaur
A cat.,cat
An apple.,apple
A sandwich.,sandwich
A television.,television
A bicycle.,bicycle
A cake.,cake
A pear.,pear
A whale.,whale
A bee.,bee
A kangaroo.,kangaroo
A zebra.,zebra
A house.,house
A hair drier.,hair drier
A crab.,crab
A lamp.,lamp
A toilet.,toilet
A wine glass.,wine glass
A plate.,plate
A sea.,sea
A bear.,bear
A snake.,snake
A chimpanzee.,chimpanzee
A horse.,horse
A shrew.,shrew
A can.,can
A spoon.,spoon
A carrot.,carrot
A broccoli.,broccoli
A skyscraper.,skyscraper
A giraffe.,giraffe
A leopard.,leopard
A camel.,camel
A bench.,bench
A sports ball.,sports ball
A man.,man
A lobster.,lobster
A cup.,cup
An otter.,otter
A surfboard.,surfboard
A knife.,knife
A possum.,possum
A bottle.,bottle
A banana.,banana
A bird.,bird
A hamster.,hamster
A boy.,boy
A plain.,plain
A frisbee.,frisbee
A sink.,sink
A caterpillar.,caterpillar
A pizza.,pizza
A ray.,ray
A flatfish.,flatfish
A toaster.,toaster
A tulip.,tulip
A mouse.,mouse
A wolf.,wolf
A tv.,tv
A bridge.,bridge
A rocket.,rocket
A tiger.,tiger
A clock.,clock
A cow.,cow
A forest.,forest
A car.,car
A scissors.,scissors
A truck.,truck
A parking meter.,parking meter
A dog.,dog
A fork.,fork
A lion.,lion
A couch.,couch
A sheep.,sheep
A turtle.,turtle
A cockroach.,cockroach
A sweet pepper.,sweet pepper