prompt,noun_0,noun_1,head,dependent
Many different colorful flowers are on a table.,flowers,table,table,flowers
A few different animals are in the wild.,animals,wild,wild,animals
a white stove is next to a window,stove,window,window,stove
A rectangular shaped pizza is on a wooden board.,pizza,board,board,pizza
"A slim, modern fridge is next to some clean, sleek cabinets.",fridge,cabinets,cabinets,fridge
Apples of green and red are in white baskets.,Apples,baskets,baskets,Apples
A large empty silver kitchen is under construction.,kitchen,construction,construction,kitchen
The young boy is on the boat navigating it.,boy,boat,boat,boy
Three brown bananas are by a measuring glass.,bananas,glass,glass,bananas
a clock is on a white tower outside,clock,tower,tower,clock
The dog is on the leash walking outside.,dog,leash,leash,dog
a large bed is in a white room,bed,room,room,bed
Several zebras are in an open grassy field.,zebras,field,field,zebras
An airplane is in a yellow and blue sky.,airplane,sky,sky,airplane
Two little white boxes are on a mat.,boxes,mat,mat,boxes
The zebra is in the field standing all alone.,zebra,field,field,zebra
many different tools are on different wooden shelves,tools,shelves,shelves,tools
The cloudy sky is above the grassy land.,sky,land,land,sky
A few people are in the ocean splashing around.,people,ocean,ocean,people
The suitcases are on the ramp waiting to get picked up.,suitcases,ramp,ramp,suitcases
The pretty colored cookies are on the table.,cookies,table,table,cookies
A man is next to a blue and yellow train.,man,train,train,man
A double decked bus is at an intersection.,bus,intersection,intersection,bus
The people are on the beach getting ready to surf.,people,beach,beach,people
a plane is on the tarmac preparing to load or unload,plane,tarmac,tarmac,plane
three pink umbrellas are in a lush garden,umbrellas,garden,garden,umbrellas
The cake is on the table ready to be eaten.,cake,table,table,cake
a bucket is next to the toilet.,bucket,toilet,toilet,bucket
A yellow and black old train is on a bridge.,train,bridge,bridge,train
A sandwich is next to a yellow stuffed animal.,sandwich,animal,animal,sandwich
A raw turkey is in an open oven.,turkey,oven,oven,turkey
two white polar bears are in their pen,bears,pen,pen,bears
A neatly made bed is next to a curtained window.,bed,window,window,bed
Two zebras behind a cage standing next to each other.,zebras,cage,cage,zebras
a yellow van is in a busy town,van,town,town,van
a yellow and white train is at a station,train,station,station,train
A red and white airplane is on the runway.,airplane,runway,runway,airplane
A large clock is outside a large building.,clock,building,building,clock
The meal is on the plate and ready to be eaten.,meal,plate,plate,meal
A frothy drink is by some strange looking bananas.,drink,bananas,bananas,drink
a herd of elephants all grouped up together.,herd,elephants,herd,elephants
a pizza well made in a brown box.,pizza,box,pizza,box
people sitting together while holding onto skiis.,people,skiis,people,skiis
two bears in the water and one is growling.,bears,water,bears,water
a very long river moving in a big forest.,river,forest,river,forest
A little girl holding a Nintendo Wii game controller.,girl,Nintendo,girl,Nintendo
this is a woman cleaning a public restroom.,woman,restroom,woman,restroom
there is a white dog playing with a green apple.,dog,apple,dog,apple
A cat that is sitting on some cushions.,cat,cushions,cat,cushions
A white toilet sitting next to a wooden cabinet.,toilet,cabinet,toilet,cabinet
There is a black bird perched on wood.,bird,wood,bird,wood
A man in a white tie smiles while posing.,man,tie,man,tie
many different sinks near one another with mirrors,sinks,mirrors,sinks,mirrors
A man that is sitting down and wearing a tie.,man,tie,man,tie
Several sandwiches sliced and neatly arranged on a white plate.,sandwiches,plate,sandwiches,plate
An apple with a funny face carved into it.,apple,face,apple,face
A elephant that is standing in the dirt.,elephant,dirt,elephant,dirt
A kitchen that has an island are in it.,kitchen,island,kitchen,island
a girl and a dog looking angry in a photo,girl,dog,girl,dog
A train traveling along a lush green countryside.,train,countryside,train,countryside
There are many birds on and around the bench.,birds,bench,birds,bench
A single yellow rose standing in a vase,rose,vase,rose,vase
a blender full of liquid is spilling everywhere,blender,liquid,blender,liquid
A plate full of broccoli sitting together.,plate,broccoli,plate,broccoli
A man that is sitting down in a chair.,man,chair,man,chair
A black child who is enjoying a sandwich.,child,sandwich,child,sandwich
A zebra standing in a lush green forest.,zebra,forest,zebra,forest
"An elderly woman standing by a white sedan,",woman,sedan,woman,sedan
People talking with one another and having drinks.,People,drinks,People,drinks
A man who is jumping up while in the snow.,man,snow,man,snow
A man that is sitting down next to a skateboard.,man,skateboard,man,skateboard
Two vases with one leaning on the other one,vases,one,vases,one
A very big dim lit room with some desks.,room,desks,room,desks
A cat sitting on a computer looking like it is typing.,cat,computer,cat,computer
a girafee looking around by some people,girafee,people,girafee,people
A very small looking bathroom with a blue toilet.,bathroom,toilet,bathroom,toilet
Two African elephants walking through tall yellow grass.,elephants,grass,elephants,grass
Two surfboards that are sitting in the sand.,surfboards,sand,surfboards,sand
there is a plane and also a bus that is next to it,plane,bus,plane,bus
Women and men appear in an animated image.,Women,men,Women,men